country_name,country_code,population_density,gdp_per_capita,life_expectancy,co2_emissions,dbpedia_uri
Afghanistan,AFG,59.9006163469942,510.787063366811,61.454,1.78783097605654,http://dbpedia.org/resource/Afghanistan
Albania,ALB,92.2802919708029,6027.91350716348,77.824,12.3564009219659,http://dbpedia.org/resource/Albania
Algeria,DZA,18.4915612115512,3743.5419522929,73.257,29.7457869624608,http://dbpedia.org/resource/Algeria
Andorra,AND,164.63829787234,37361.1070081615,79.418,46.2171839382239,http://dbpedia.org/resource/Andorra
Angola,AGO,26.8317413972888,1759.35619918264,63.116,4.7419437422323,http://dbpedia.org/resource/Angola
Antigua and Barbuda,ATG,208.740909090909,15369.6082250401,77.161,40.973840973841,http://dbpedia.org/resource/Antigua_and_Barbuda
Argentina,ARG,16.5133665121004,8535.59938004389,75.878,27.2449403233104,http://dbpedia.org/resource/Argentina
Armenia,ARM,105.027376627853,4268.68093304583,73.3756097560976,19.2374700956085,http://dbpedia.org/resource/Armenia
Australia,AUS,3.33452695130798,51983.4523666382,83.2,118.198657330084,http://dbpedia.org/resource/Australia
Austria,AUT,108.057004362579,48716.4098900349,81.1926829268293,53.0611658986837,http://dbpedia.org/resource/Austria
Azerbaijan,AZE,122.124736829369,4229.91064904503,70.312,27.1907965831382,http://dbpedia.org/resource/Azerbaijan
Bahrain,BHR,1875.41910828025,24342.8444554718,78.683,175.815262452207,http://dbpedia.org/resource/Bahrain
Bangladesh,BGD,1277.54493354844,2248.85078828233,71.421,4.08518047421676,http://dbpedia.org/resource/Bangladesh
Barbados,BRB,655.111627906977,19194.4919736739,76.647,31.238969265354,http://dbpedia.org/resource/Barbados
Belarus,BLR,46.211212927382,6542.85579976768,72.1385609756098,46.739258367207,http://dbpedia.org/resource/Belarus
Belgium,BEL,378.38932248967,45906.2875805246,80.6951219512195,59.1850452619745,http://dbpedia.org/resource/Belgium
Belize,BLZ,17.1333625602806,5238.54078175696,71.58,13.9288617217114,http://dbpedia.org/resource/Belize
Benin,BEN,115.911395885066,1200.19426557789,60.154,5.04963844771581,http://dbpedia.org/resource/Benin
Bhutan,BTN,20.1889355007866,3191.66906999331,72.253,10.7204345338418,http://dbpedia.org/resource/Bhutan
Bolivia,BOL,10.9076885442629,3580.96761778303,62.906,12.3157175648253,http://dbpedia.org/resource/Bolivia
Bosnia and Herzegovina,BIH,64.44041015625,6130.31187968266,76.04,50.4984469958025,http://dbpedia.org/resource/Bosnia_and_Herzegovina
Botswana,BWA,4.17464048135797,6323.2974967659,67.643,18.1077049106936,http://dbpedia.org/resource/Botswana
Brazil,BRA,24.9649852718428,7074.19407495707,74.506,15.5401868505188,http://dbpedia.org/resource/Brazil
Brunei,BRN,84.896394686907,26834.3592233943,75.114,173.646499518931,http://dbpedia.org/resource/Brunei
Bulgaria,BGR,60.3417096536478,10760.211975413,73.3560975609756,39.38624303524,http://dbpedia.org/resource/Bulgaria
Burkina Faso,BFA,78.5039839181287,825.237038782475,60.454,2.02826550998006,http://dbpedia.org/resource/Burkina_Faso
Burundi,BDI,491.317601246106,255.8324539389,62.569,0.467072174682189,http://dbpedia.org/resource/Burundi
Cambodia,KHM,94.7511556764106,2081.73914242939,70.059,9.10066927448304,http://dbpedia.org/resource/Cambodia
Cameroon,CMR,55.4474371178947,1555.60370660749,61.674,2.99826126425088,http://dbpedia.org/resource/Cameroon
Canada,CAN,4.24162135453439,43537.839298904,81.53,108.779642191483,http://dbpedia.org/resource/Canada
Cape Verde,CPV,127.711910669975,3539.22661248299,73.818,8.52121378552794,http://dbpedia.org/resource/Cape_Verde
Central African Republic,CAF,8.06868278275386,462.879071294011,50.596,0.35425658148388,http://dbpedia.org/resource/Central_African_Republic
Chad,TCD,13.6790652795426,866.947814890409,53.082,0.75382549677522,http://dbpedia.org/resource/Chad
Chile,CHL,26.0767352343796,13114.815470545,79.349,35.161208508773,http://dbpedia.org/resource/Chile
China,CHN,150.305542803154,10627.4637989619,78.019,62.0491032527815,http://dbpedia.org/resource/China
Colombia,COL,45.6331653898152,5339.68711357943,74.757,12.4180753825662,http://dbpedia.org/resource/Colombia
Comoros,COM,431.038688876948,1519.34665556206,65.756,3.25689746280543,http://dbpedia.org/resource/Comoros
Costa Rica,CRI,98.5961613787701,12394.0493969492,79.725,10.8799643965915,http://dbpedia.org/resource/Costa_Rica
Croatia,HRV,69.946497498213,14807.5608543265,77.5243902439024,30.8856431338446,http://dbpedia.org/resource/Croatia
Cuba,CUB,107.672003853565,9605.27914559614,77.407,17.2221574277978,http://dbpedia.org/resource/Cuba
Cyprus,CYP,140.935822510823,28130.341796875,81.23,43.7759840715874,http://dbpedia.org/resource/Cyprus
Czech Republic,CZE,138.575928842168,23472.8915454417,78.2268292682927,66.4321399667111,http://dbpedia.org/resource/Czech_Republic
Democratic Republic of the Congo,COD,42.3413678569066,486.425572682256,60.428,0.26067824678543,http://dbpedia.org/resource/Democratic_Republic_of_the_Congo
Denmark,DNK,145.7851,60985.4885601514,81.6024390243903,37.5298984601307,http://dbpedia.org/resource/Denmark
Djibouti,DJI,47.6785159620362,2844.88810647853,64.2,3.13863336990302,http://dbpedia.org/resource/Djibouti
Dominica,DMA,90.0973333333333,7827.74842680426,71.269,18.0901451489687,http://dbpedia.org/resource/Dominica
Dominican Republic,DOM,228.397349102723,7135.22273255899,72.636,16.6414537753153,http://dbpedia.org/resource/Dominican_Republic
East Timor,TLS,89.1763954270343,1630.86938521256,66.919,2.74524132785126,http://dbpedia.org/resource/East_Timor
Ecuador,ECU,70.6477089708488,5463.64515348598,72.004,15.6606027940265,http://dbpedia.org/resource/Ecuador
Egypt,EGY,109.814781254709,3511.11381026379,69.79,15.6889805767143,http://dbpedia.org/resource/Egypt
El Salvador,SLV,300.901206563707,3997.19279583709,70.244,8.10624194805085,http://dbpedia.org/resource/El_Salvador
Equatorial Guinea,GNQ,61.1931550802139,5764.05502912947,62.141,21.8058468129738,http://dbpedia.org/resource/Equatorial_Guinea
Estonia,EST,31.0999298245614,23933.9939421065,78.5951219512195,42.7071985269894,http://dbpedia.org/resource/Estonia
Eswatini,SWZ,69.3447093023256,3466.56936278145,59.862,7.77670022148722,http://dbpedia.org/resource/Eswatini
Ethiopia,ETH,105.370090895445,829.790982547947,65.969,1.23545417272164,http://dbpedia.org/resource/Ethiopia
Federated States of Micronesia,FSM,158.451428571429,3362.02802120524,65.878,7.67131108058445,http://dbpedia.org/resource/Federated_States_of_Micronesia
Fiji,FJI,50.0800766283525,4620.6457238014,66.924,8.93677030753285,http://dbpedia.org/resource/Fiji
