country_name,country_code,gdp_per_capita,dbpedia_uri
Kazakhstan,KAZ,8781.50797787648,http://dbpedia.org/resource/Kazakhstan
Kenya,KEN,1927.66459027849,http://dbpedia.org/resource/Kenya
Kyrgyzstan,KGZ,1229.51766602907,http://dbpedia.org/resource/Kyrgyzstan
Cambodia,KHM,2081.73914242939,http://dbpedia.org/resource/Cambodia
Kiribati,KIR,1751.78249168214,http://dbpedia.org/resource/Kiribati
Saint Kitts and Nevis,KNA,18859.0190361046,http://dbpedia.org/resource/Saint_Kitts_and_Nevis
South Korea,KOR,33645.7719545073,http://dbpedia.org/resource/South_Korea
Kuwait,KWT,25236.0755848941,http://dbpedia.org/resource/Kuwait
Laos,LAO,2583.77730696131,http://dbpedia.org/resource/Laos
Lebanon,LBN,5561.19166950397,http://dbpedia.org/resource/Lebanon
Liberia,LBR,616.787867006715,http://dbpedia.org/resource/Liberia
Libya,LBY,6650.33810585348,http://dbpedia.org/resource/Libya
Saint Lucia,LCA,8411.07474936367,http://dbpedia.org/resource/Saint_Lucia
Liechtenstein,LIE,164671.093553454,http://dbpedia.org/resource/Liechtenstein
Sri Lanka,LKA,3847.60137695639,http://dbpedia.org/resource/Sri_Lanka
Lesotho,LSO,918.582574704447,http://dbpedia.org/resource/Lesotho
Lithuania,LTU,20428.6478157394,http://dbpedia.org/resource/Lithuania
Luxembourg,LUX,116860.02817236,http://dbpedia.org/resource/Luxembourg
Latvia,LVA,17564.2321549354,http://dbpedia.org/resource/Latvia
Morocco,MAR,3268.0302734375,http://dbpedia.org/resource/Morocco
Moldova,MDA,4375.7788930524,http://dbpedia.org/resource/Moldova
Madagascar,MDG,450.771615201509,http://dbpedia.org/resource/Madagascar
Maldives,MDV,7393.8886543933,http://dbpedia.org/resource/Maldives
Mexico,MEX,8841.27075039868,http://dbpedia.org/resource/Mexico
Marshall Islands,MHL,5661.96787336674,http://dbpedia.org/resource/Marshall_Islands
North Macedonia,MKD,6659.59651070776,http://dbpedia.org/resource/North_Macedonia
Mali,MLI,953.242943290974,http://dbpedia.org/resource/Mali
Malta,MLT,31823.4363934505,http://dbpedia.org/resource/Malta
Myanmar,MMR,1490.21683599469,http://dbpedia.org/resource/Myanmar
Montenegro,MNE,7538.53635992191,http://dbpedia.org/resource/Montenegro
Mongolia,MNG,4001.25193077703,http://dbpedia.org/resource/Mongolia
Mozambique,MOZ,462.433876479921,http://dbpedia.org/resource/Mozambique
Mauritania,MRT,1795.76459566714,http://dbpedia.org/resource/Mauritania
Mauritius,MUS,9135.84773751062,http://dbpedia.org/resource/Mauritius
Malawi,MWI,602.507478176106,http://dbpedia.org/resource/Malawi
Malaysia,MYS,9957.52626697613,http://dbpedia.org/resource/Malaysia
Namibia,NAM,3878.58982993966,http://dbpedia.org/resource/Namibia
Niger,NER,579.512495758236,http://dbpedia.org/resource/Niger
Nigeria,NGA,2797.18458068686,http://dbpedia.org/resource/Nigeria
Nicaragua,NIC,1938.44704754382,http://dbpedia.org/resource/Nicaragua
Netherlands,NLD,53467.9277413737,http://dbpedia.org/resource/Netherlands
Norway,NOR,68340.0181033702,http://dbpedia.org/resource/Norway
Nepal,NPL,1154.21517578318,http://dbpedia.org/resource/Nepal
Nauru,NRU,10709.068810538,http://dbpedia.org/resource/Nauru
New Zealand,NZL,41997.7830324279,http://dbpedia.org/resource/New_Zealand
Oman,OMN,16784.8630630058,http://dbpedia.org/resource/Oman
Pakistan,PAK,1278.39735206896,http://dbpedia.org/resource/Pakistan
Panama,PAN,13290.5608397749,http://dbpedia.org/resource/Panama
Peru,PER,6133.32552410183,http://dbpedia.org/resource/Peru
Philippines,PHL,3227.57910235199,http://dbpedia.org/resource/Philippines
Palau,PLW,14708.2119536914,http://dbpedia.org/resource/Palau
Papua New Guinea,PNG,2429.61134585269,http://dbpedia.org/resource/Papua_New_Guinea
Poland,POL,16150.9304813473,http://dbpedia.org/resource/Poland
Portugal,PRT,22299.4044062173,http://dbpedia.org/resource/Portugal
Paraguay,PRY,5365.47220721104,http://dbpedia.org/resource/Paraguay
Qatar,QAT,51683.5681078949,http://dbpedia.org/resource/Qatar
Romania,ROU,13009.1770573223,http://dbpedia.org/resource/Romania
Russia,RUS,10108.3271484375,http://dbpedia.org/resource/Russia
Rwanda,RWA,778.701498925026,http://dbpedia.org/resource/Rwanda
Saudi Arabia,SAU,24338.8307301067,http://dbpedia.org/resource/Saudi_Arabia
Sudan,SDN,577.795227050781,http://dbpedia.org/resource/Sudan
Senegal,SEN,1461.08720350553,http://dbpedia.org/resource/Senegal
