country_name,country_code,co2_emissions,dbpedia_uri
Kazakhstan,KAZ,90.3819464475429,http://dbpedia.org/resource/Kazakhstan
Kenya,KEN,2.99263375484604,http://dbpedia.org/resource/Kenya
Kyrgyzstan,KGZ,11.0398030365203,http://dbpedia.org/resource/Kyrgyzstan
Cambodia,KHM,9.10066927448304,http://dbpedia.org/resource/Cambodia
Kiribati,KIR,3.59947178226042,http://dbpedia.org/resource/Kiribati
Saint Kitts and Nevis,KNA,38.7893035556862,http://dbpedia.org/resource/Saint_Kitts_and_Nevis
South Korea,KOR,87.9202366514284,http://dbpedia.org/resource/South_Korea
Kuwait,KWT,169.356882005594,http://dbpedia.org/resource/Kuwait
Laos,LAO,20.9622675304352,http://dbpedia.org/resource/Laos
Lebanon,LBN,30.3375482944056,http://dbpedia.org/resource/Lebanon
Liberia,LBR,1.85471139149742,http://dbpedia.org/resource/Liberia
Libya,LBY,53.462443766417,http://dbpedia.org/resource/Libya
Saint Lucia,LCA,22.2811138325234,http://dbpedia.org/resource/Saint_Lucia
Liechtenstein,LIE,29.3107839818351,http://dbpedia.org/resource/Liechtenstein
Sri Lanka,LKA,7.97346594278936,http://dbpedia.org/resource/Sri_Lanka
Lesotho,LSO,8.20513730535469,http://dbpedia.org/resource/Lesotho
Lithuania,LTU,33.4720033203513,http://dbpedia.org/resource/Lithuania
Luxembourg,LUX,99.6556258615302,http://dbpedia.org/resource/Luxembourg
Latvia,LVA,29.1648973479425,http://dbpedia.org/resource/Latvia
Morocco,MAR,14.5482110984799,http://dbpedia.org/resource/Morocco
Moldova,MDA,26.142770944887,http://dbpedia.org/resource/Moldova
Madagascar,MDG,0.778156324759274,http://dbpedia.org/resource/Madagascar
Maldives,MDV,22.6110823850493,http://dbpedia.org/resource/Maldives
Mexico,MEX,24.3261309981781,http://dbpedia.org/resource/Mexico
Marshall Islands,MHL,20.2704259092898,http://dbpedia.org/resource/Marshall_Islands
North Macedonia,MKD,27.0000620073283,http://dbpedia.org/resource/North_Macedonia
Mali,MLI,1.56452777133854,http://dbpedia.org/resource/Mali
Malta,MLT,25.0044631422074,http://dbpedia.org/resource/Malta
Myanmar,MMR,5.07264278712779,http://dbpedia.org/resource/Myanmar
Montenegro,MNE,32.540487296115,http://dbpedia.org/resource/Montenegro
Mongolia,MNG,51.4451626807838,http://dbpedia.org/resource/Mongolia
Mozambique,MOZ,1.7821404217217,http://dbpedia.org/resource/Mozambique
