country_name,country_code,population_density,dbpedia_uri
Kenya,KEN,89.8940686683206,http://dbpedia.org/resource/Kenya
Kyrgyzstan,KGZ,35.0708863399374,http://dbpedia.org/resource/Kyrgyzstan
Cambodia,KHM,94.7511556764106,http://dbpedia.org/resource/Cambodia
Kiribati,KIR,155.677777777778,http://dbpedia.org/resource/Kiribati
Saint Kitts and Nevis,KNA,180.269230769231,http://dbpedia.org/resource/Saint_Kitts_and_Nevis
South Korea,KOR,531.109006147541,http://dbpedia.org/resource/South_Korea
Kuwait,KWT,246.928563411897,http://dbpedia.org/resource/Kuwait
Laos,LAO,31.8307322357019,http://dbpedia.org/resource/Laos
Lebanon,LBN,557.419159335288,http://dbpedia.org/resource/Lebanon
Liberia,LBR,53.462032807309,http://dbpedia.org/resource/Liberia
Libya,LBY,4.00411414346932,http://dbpedia.org/resource/Libya
Saint Lucia,LCA,292.213114754098,http://dbpedia.org/resource/Saint_Lucia
Liechtenstein,LIE,243.13125,http://dbpedia.org/resource/Liechtenstein
Sri Lanka,LKA,354.332363401229,http://dbpedia.org/resource/Sri_Lanka
Lesotho,LSO,73.6405467720685,http://dbpedia.org/resource/Lesotho
Lithuania,LTU,44.8797349089748,http://dbpedia.org/resource/Lithuania
Luxembourg,LUX,244.874264894386,http://dbpedia.org/resource/Luxembourg
Latvia,LVA,30.5391129680219,http://dbpedia.org/resource/Latvia
Morocco,MAR,81.9722339233699,http://dbpedia.org/resource/Morocco
Moldova,MDA,91.7473260542588,http://dbpedia.org/resource/Moldova
Madagascar,MDG,49.7654795462358,http://dbpedia.org/resource/Madagascar
Maldives,MDV,1673.72666666667,http://dbpedia.org/resource/Maldives
Mexico,MEX,65.227528485815,http://dbpedia.org/resource/Mexico
Marshall Islands,MHL,237.255555555556,http://dbpedia.org/resource/Marshall_Islands
North Macedonia,MKD,73.5973037272006,http://dbpedia.org/resource/North_Macedonia
Mali,MLI,17.7954548062187,http://dbpedia.org/resource/Mali
Malta,MLT,1610.90625,http://dbpedia.org/resource/Malta
Myanmar,MMR,81.2302112859485,http://dbpedia.org/resource/Myanmar
Montenegro,MNE,46.5866171003717,http://dbpedia.org/resource/Montenegro
Mongolia,MNG,2.13623721809195,http://dbpedia.org/resource/Mongolia
Mozambique,MOZ,39.1460718736489,http://dbpedia.org/resource/Mozambique
Mauritania,MRT,4.46311341806539,http://dbpedia.org/resource/Mauritania
Mauritius,MUS,633.957936905358,http://dbpedia.org/resource/Mauritius
Malawi,MWI,207.190156979211,http://dbpedia.org/resource/Malawi
Malaysia,MYS,103.148860143053,http://dbpedia.org/resource/Malaysia
Namibia,NAM,3.31446027523716,http://dbpedia.org/resource/Namibia
Niger,NER,18.7239385805637,http://dbpedia.org/resource/Niger
Nigeria,NGA,234.961824609945,http://dbpedia.org/resource/Nigeria
Nicaragua,NIC,54.5559830480306,http://dbpedia.org/resource/Nicaragua
Netherlands,NLD,518.013068013068,http://dbpedia.org/resource/Netherlands
Norway,NOR,14.7672152298338,http://dbpedia.org/resource/Norway
Nepal,NPL,202.068880362749,http://dbpedia.org/resource/Nepal
Nauru,NRU,582.15,http://dbpedia.org/resource/Nauru
New Zealand,NZL,19.2639854164293,http://dbpedia.org/resource/New_Zealand
Oman,OMN,14.612268174475,http://dbpedia.org/resource/Oman
Pakistan,PAK,304.848674242424,http://dbpedia.org/resource/Pakistan
Panama,PAN,57.87626044756,http://dbpedia.org/resource/Panama
