country_name,country_code,dbpedia_uri
Morocco,MAR,http://dbpedia.org/resource/Morocco
Mozambique,MOZ,http://dbpedia.org/resource/Mozambique
Myanmar,MMR,http://dbpedia.org/resource/Myanmar
Namibia,NAM,http://dbpedia.org/resource/Namibia
Nauru,NRU,http://dbpedia.org/resource/Nauru
Nepal,NPL,http://dbpedia.org/resource/Nepal
Netherlands,NLD,http://dbpedia.org/resource/Netherlands
New Zealand,NZL,http://dbpedia.org/resource/New_Zealand
Nicaragua,NIC,http://dbpedia.org/resource/Nicaragua
Niger,NER,http://dbpedia.org/resource/Niger
Nigeria,NGA,http://dbpedia.org/resource/Nigeria
North Macedonia,MKD,http://dbpedia.org/resource/North_Macedonia
Norway,NOR,http://dbpedia.org/resource/Norway
Oman,OMN,http://dbpedia.org/resource/Oman
Pakistan,PAK,http://dbpedia.org/resource/Pakistan
Palau,PLW,http://dbpedia.org/resource/Palau
Panama,PAN,http://dbpedia.org/resource/Panama
Papua New Guinea,PNG,http://dbpedia.org/resource/Papua_New_Guinea
Paraguay,PRY,http://dbpedia.org/resource/Paraguay
Peru,PER,http://dbpedia.org/resource/Peru
Philippines,PHL,http://dbpedia.org/resource/Philippines
Poland,POL,http://dbpedia.org/resource/Poland
Portugal,PRT,http://dbpedia.org/resource/Portugal
Qatar,QAT,http://dbpedia.org/resource/Qatar
Republic of the Congo,COG,http://dbpedia.org/resource/Republic_of_the_Congo
Romania,ROU,http://dbpedia.org/resource/Romania
Russia,RUS,http://dbpedia.org/resource/Russia
Rwanda,RWA,http://dbpedia.org/resource/Rwanda
S%C3%A3o Tom%C3%A9 and Pr%C3%ADncipe,STP,http://dbpedia.org/resource/S%C3%A3o_Tom%C3%A9_and_Pr%C3%ADncipe
Saint Kitts and Nevis,KNA,http://dbpedia.org/resource/Saint_Kitts_and_Nevis
Saint Lucia,LCA,http://dbpedia.org/resource/Saint_Lucia
Saint Vincent and the Grenadines,VCT,http://dbpedia.org/resource/Saint_Vincent_and_the_Grenadines
Samoa,WSM,http://dbpedia.org/resource/Samoa
Saudi Arabia,SAU,http://dbpedia.org/resource/Saudi_Arabia
Senegal,SEN,http://dbpedia.org/resource/Senegal
Serbia,SRB,http://dbpedia.org/resource/Serbia
Seychelles,SYC,http://dbpedia.org/resource/Seychelles
Sierra Leone,SLE,http://dbpedia.org/resource/Sierra_Leone
Singapore,SGP,http://dbpedia.org/resource/Singapore
Slovakia,SVK,http://dbpedia.org/resource/Slovakia
Slovenia,SVN,http://dbpedia.org/resource/Slovenia
Solomon Islands,SLB,http://dbpedia.org/resource/Solomon_Islands
Somalia,SOM,http://dbpedia.org/resource/Somalia
South Africa,ZAF,http://dbpedia.org/resource/South_Africa
South Korea,KOR,http://dbpedia.org/resource/South_Korea
Spain,ESP,http://dbpedia.org/resource/Spain
Sri Lanka,LKA,http://dbpedia.org/resource/Sri_Lanka
Sudan,SDN,http://dbpedia.org/resource/Sudan
Suriname,SUR,http://dbpedia.org/resource/Suriname
Sweden,SWE,http://dbpedia.org/resource/Sweden
Switzerland,CHE,http://dbpedia.org/resource/Switzerland
Syria,SYR,http://dbpedia.org/resource/Syria
Tajikistan,TJK,http://dbpedia.org/resource/Tajikistan
Tanzania,TZA,http://dbpedia.org/resource/Tanzania
Thailand,THA,http://dbpedia.org/resource/Thailand
The Bahamas,BHS,http://dbpedia.org/resource/The_Bahamas
The Gambia,GMB,http://dbpedia.org/resource/The_Gambia
Togo,TGO,http://dbpedia.org/resource/Togo
Tonga,TON,http://dbpedia.org/resource/Tonga
Trinidad and Tobago,TTO,http://dbpedia.org/resource/Trinidad_and_Tobago
Tunisia,TUN,http://dbpedia.org/resource/Tunisia
Turkey,TUR,http://dbpedia.org/resource/Turkey
Turkmenistan,TKM,http://dbpedia.org/resource/Turkmenistan
Tuvalu,TUV,http://dbpedia.org/resource/Tuvalu
Uganda,UGA,http://dbpedia.org/resource/Uganda
Ukraine,UKR,http://dbpedia.org/resource/Ukraine
United Arab Emirates,ARE,http://dbpedia.org/resource/United_Arab_Emirates
United Kingdom,GBR,http://dbpedia.org/resource/United_Kingdom
United States,USA,http://dbpedia.org/resource/United_States
Uruguay,URY,http://dbpedia.org/resource/Uruguay
Uzbekistan,UZB,http://dbpedia.org/resource/Uzbekistan
Vanuatu,VUT,http://dbpedia.org/resource/Vanuatu
Venezuela,VEN,http://dbpedia.org/resource/Venezuela
Vietnam,VNM,http://dbpedia.org/resource/Vietnam
Zambia,ZMB,http://dbpedia.org/resource/Zambia
Zimbabwe,ZWE,http://dbpedia.org/resource/Zimbabwe
